time_uS,Voltage_mV
1000,-22.04523819137972
2000,-106.04523944307725
3000,-86.04523914505403
4000,-58.04523872782151
5000,-26.045238250984365
6000,0
7000,11.301484213521537
8000,35.30148457114941
9000,51.30148480956799
10000,67.30148504798657
11000,71.30148510759122
12000,75.30148516719586
13000,75.30148516719586
14000,75.30148516719586
15000,71.30148510759122
16000,71.30148510759122
17000,67.30148504798657
18000,63.30148498838193
19000,67.30148504798657
20000,63.30148498838193
21000,71.30148510759122
22000,75.30148516719586
23000,75.30148516719586
24000,79.30148522680051
25000,75.30148516719586
26000,67.30148504798657
27000,59.301484928777285
28000,51.30148480956799
29000,43.3014846903587
30000,39.301484630754054
31000,31.30148451154476
32000,27.301484451940116
33000,27.301484451940116
34000,19.301484332730826
35000,15.301484273126182
36000,3.30148409431225
37000,-6.0452379529611395
38000,-42.04523848940295
39000,-106.04523944307725
40000,-170.04524039675158
41000,-182.04524057556551
42000,-138.04523991991442
43000,-74.04523896624009
44000,-30.04523831058901
45000,0
46000,3.30148409431225
47000,7.301484153916895
48000,3.30148409431225
49000,3.30148409431225
50000,3.30148409431225
51000,7.301484153916895
52000,19.301484332730826
53000,31.30148451154476
54000,51.30148480956799
55000,63.30148498838193
56000,71.30148510759122
57000,71.30148510759122
58000,67.30148504798657
59000,55.30148486917263
60000,43.3014846903587
61000,31.30148451154476
62000,19.301484332730826
63000,7.301484153916895
64000,3.30148409431225
65000,0
66000,0
67000,-6.0452379529611395
68000,-30.04523831058901
69000,-70.04523890663545
70000,-130.04523980070513
71000,-182.04524057556551
72000,-178.04524051596087
73000,-126.04523974110047
74000,-58.04523872782151
75000,-10.045238012565786
76000,11.301484213521537
77000,31.30148451154476
78000,43.3014846903587
79000,47.30148474996334
80000,51.30148480956799
81000,51.30148480956799
82000,51.30148480956799
83000,47.30148474996334
84000,47.30148474996334
85000,51.30148480956799
86000,55.30148486917263
87000,59.301484928777285
88000,63.30148498838193
89000,67.30148504798657
90000,67.30148504798657
91000,67.30148504798657
92000,63.30148498838193
93000,59.301484928777285
94000,55.30148486917263
95000,51.30148480956799
96000,47.30148474996334
97000,43.3014846903587
98000,43.3014846903587
99000,35.30148457114941
100000,31.30148451154476
101000,27.301484451940116
102000,23.30148439233547
103000,23.30148439233547
104000,15.301484273126182
105000,7.301484153916895
106000,3.30148409431225
107000,0
108000,0
109000,-10.045238012565786
110000,-18.045238131775076
111000,-34.04523837019366
112000,-42.04523848940295
113000,-54.04523866821688
114000,-66.0452388470308
115000,-70.04523890663545
116000,-74.04523896624009
117000,-70.04523890663545
118000,-66.0452388470308
119000,-54.04523866821688
120000,-46.04523854900759
121000,-34.04523837019366
122000,-22.04523819137972
123000,-14.04523807217043
124000,-10.045238012565786
125000,-10.045238012565786
126000,-10.045238012565786
127000,-18.045238131775076
128000,-26.045238250984365
129000,-30.04523831058901
130000,-26.045238250984365
131000,-14.04523807217043
132000,0
133000,15.301484273126182
134000,31.30148451154476
135000,47.30148474996334
136000,59.301484928777285
137000,63.30148498838193
138000,67.30148504798657
139000,67.30148504798657
140000,63.30148498838193
141000,63.30148498838193
142000,59.301484928777285
143000,59.301484928777285
144000,51.30148480956799
145000,51.30148480956799
146000,47.30148474996334
147000,47.30148474996334
148000,51.30148480956799
149000,55.30148486917263
150000,51.30148480956799
151000,39.301484630754054
152000,11.301484213521537
153000,-14.04523807217043
154000,-70.04523890663545
155000,-122.04523968149583
156000,-166.04524033714694
157000,-178.04524051596087
158000,-166.04524033714694
159000,-134.04523986030978
160000,-94.04523926426332
161000,-66.0452388470308
162000,-50.04523860861224
163000,-50.04523860861224
164000,-74.04523896624009
165000,-126.04523974110047
166000,-178.04524051596087
167000,-158.04524021793765
168000,-86.04523914505403
169000,-14.04523807217043
170000,23.30148439233547
171000,51.30148480956799
172000,63.30148498838193
173000,67.30148504798657
174000,63.30148498838193
175000,63.30148498838193
176000,63.30148498838193
177000,55.30148486917263
178000,51.30148480956799
179000,59.301484928777285
180000,67.30148504798657
181000,71.30148510759122
182000,71.30148510759122
183000,43.3014846903587
184000,0
185000,-54.04523866821688
186000,-126.04523974110047
187000,-182.04524057556551
188000,-210.04524099279803
189000,-222.04524117161196
190000,-218.04524111200732
191000,-190.0452406947748
192000,-154.045240158333
193000,-118.04523962189118
194000,-102.0452393834726
195000,-118.04523962189118
196000,-154.045240158333
197000,-166.04524033714694
198000,-94.04523926426332
199000,-6.0452379529611395
200000,43.3014846903587
201000,79.30148522680051
202000,95.30148546521909
203000,103.30148558442838
204000,103.30148558442838
205000,103.30148558442838
206000,99.30148552482373
207000,99.30148552482373
208000,87.3014853460098
209000,83.30148528640515
210000,79.30148522680051
211000,75.30148516719586
212000,75.30148516719586
213000,83.30148528640515
214000,83.30148528640515
215000,79.30148522680051
216000,63.30148498838193
217000,35.30148457114941
218000,0
219000,-26.045238250984365
220000,-58.04523872782151
221000,-66.0452388470308
222000,-58.04523872782151
223000,-38.0452384297983
224000,-10.045238012565786
225000,0
226000,7.301484153916895
227000,11.301484213521537
228000,0
229000,-10.045238012565786
230000,-50.04523860861224
231000,-110.0452395026819
232000,-162.0452402775423
233000,-182.04524057556551
234000,-174.04524045635623
235000,-162.0452402775423
236000,-162.0452402775423
237000,-182.04524057556551
238000,-186.04524063517016
239000,-162.0452402775423
240000,-102.0452393834726
241000,-46.04523854900759
242000,-6.0452379529611395
243000,3.30148409431225
244000,15.301484273126182
245000,3.30148409431225
246000,-6.0452379529611395
247000,-46.04523854900759
248000,-94.04523926426332
249000,-134.04523986030978
250000,-162.0452402775423
251000,-174.04524045635623
252000,-174.04524045635623
253000,-174.04524045635623
254000,-166.04524033714694
255000,-134.04523986030978
256000,-82.04523908544938
257000,-26.045238250984365
258000,3.30148409431225
259000,39.301484630754054
260000,59.301484928777285
261000,67.30148504798657
262000,71.30148510759122
263000,67.30148504798657
264000,59.301484928777285
265000,51.30148480956799
266000,43.3014846903587
267000,43.3014846903587
268000,47.30148474996334
269000,59.301484928777285
270000,75.30148516719586
271000,91.30148540561444
272000,107.30148564403302
273000,115.30148576324231
274000,119.30148582284696
275000,123.3014858824516
276000,119.30148582284696
277000,115.30148576324231
278000,107.30148564403302
279000,107.30148564403302
280000,99.30148552482373
281000,99.30148552482373
282000,95.30148546521909
283000,95.30148546521909
284000,95.30148546521909
285000,91.30148540561444
286000,83.30148528640515
287000,71.30148510759122
288000,51.30148480956799
289000,23.30148439233547
290000,-14.04523807217043
291000,-82.04523908544938
292000,-146.0452400391237
293000,-158.04524021793765
294000,-130.04523980070513
295000,-86.04523914505403
296000,-50.04523860861224
297000,-34.04523837019366
298000,-26.045238250984365
299000,-14.04523807217043
300000,-2.0452378933564948
301000,0
302000,7.301484153916895
303000,35.30148457114941
304000,55.30148486917263
305000,79.30148522680051
306000,95.30148546521909
307000,99.30148552482373
308000,103.30148558442838
309000,95.30148546521909
310000,83.30148528640515
311000,71.30148510759122
312000,59.301484928777285
313000,51.30148480956799
314000,43.3014846903587
315000,47.30148474996334
316000,47.30148474996334
317000,47.30148474996334
318000,47.30148474996334
319000,35.30148457114941
320000,15.301484273126182
321000,-6.0452379529611395
322000,-66.0452388470308
323000,-138.04523991991442
324000,-162.0452402775423
325000,-118.04523962189118
326000,-54.04523866821688
327000,-2.0452378933564948
328000,11.301484213521537
329000,27.301484451940116
330000,35.30148457114941
331000,35.30148457114941
332000,31.30148451154476
333000,27.301484451940116
334000,27.301484451940116
335000,35.30148457114941
336000,43.3014846903587
337000,63.30148498838193
338000,75.30148516719586
339000,87.3014853460098
340000,87.3014853460098
341000,83.30148528640515
342000,71.30148510759122
343000,63.30148498838193
344000,51.30148480956799
345000,47.30148474996334
346000,51.30148480956799
347000,55.30148486917263
348000,59.301484928777285
349000,63.30148498838193
350000,67.30148504798657
351000,67.30148504798657
352000,67.30148504798657
353000,63.30148498838193
354000,51.30148480956799
355000,43.3014846903587
356000,27.301484451940116
357000,3.30148409431225
358000,-10.045238012565786
359000,-26.045238250984365
360000,-42.04523848940295
361000,-42.04523848940295
362000,-22.04523819137972
363000,-10.045238012565786
364000,0
365000,7.301484153916895
366000,19.301484332730826
367000,23.30148439233547
368000,19.301484332730826
