time_uS,Voltage_mV
1000,0
2000,3.3414840949082967
3000,7.3414841545129415
4000,11.341484214117585
5000,11.341484214117585
6000,3.3414840949082967
7000,0
8000,0
9000,0
10000,-6.005237952365093
11000,-6.005237952365093
12000,-10.005238011969737
13000,-2.005237892760448
14000,0
15000,0
16000,0
17000,3.3414840949082967
18000,7.3414841545129415
19000,3.3414840949082967
20000,3.3414840949082967
21000,0
22000,0
23000,0
24000,0
25000,0
26000,0
27000,0
28000,0
29000,3.3414840949082967
30000,0
31000,0
32000,0
33000,0
34000,-6.005237952365093
35000,-18.005238131179027
36000,-30.005238309992965
37000,-38.00523842920225
38000,-46.00523854841154
39000,-42.005238488806896
40000,-34.005238369597606
41000,-18.005238131179027
42000,-6.005237952365093
43000,0
44000,3.3414840949082967
45000,11.341484214117585
46000,15.34148427372223
47000,19.341484333326875
48000,15.34148427372223
49000,15.34148427372223
50000,3.3414840949082967
51000,3.3414840949082967
52000,0
53000,0
54000,0
55000,0
56000,0
57000,0
58000,7.3414841545129415
59000,7.3414841545129415
60000,11.341484214117585
61000,11.341484214117585
62000,7.3414841545129415
63000,3.3414840949082967
64000,0
65000,0
66000,-2.005237892760448
67000,-10.005238011969737
68000,-18.005238131179027
69000,-14.005238071574382
70000,-6.005237952365093
71000,0
72000,0
73000,7.3414841545129415
74000,11.341484214117585
75000,19.341484333326875
76000,23.34148439293152
77000,23.34148439293152
78000,23.34148439293152
79000,15.34148427372223
80000,11.341484214117585
81000,3.3414840949082967
82000,0
83000,0
84000,-2.005237892760448
85000,-6.005237952365093
86000,-10.005238011969737
87000,0
88000,0
89000,0
90000,11.341484214117585
91000,19.341484333326875
92000,23.34148439293152
93000,31.341484512140806
94000,31.341484512140806
95000,31.341484512140806
96000,31.341484512140806
97000,27.34148445253616
98000,27.34148445253616
99000,19.341484333326875
100000,15.34148427372223
101000,7.3414841545129415
102000,0
103000,0
104000,-2.005237892760448
105000,-2.005237892760448
106000,0
107000,0
108000,3.3414840949082967
109000,15.34148427372223
110000,23.34148439293152
111000,27.34148445253616
112000,27.34148445253616
113000,31.341484512140806
114000,31.341484512140806
115000,27.34148445253616
116000,27.34148445253616
117000,23.34148439293152
118000,27.34148445253616
119000,23.34148439293152
120000,19.341484333326875
121000,15.34148427372223
122000,11.341484214117585
123000,11.341484214117585
124000,11.341484214117585
125000,11.341484214117585
126000,15.34148427372223
127000,19.341484333326875
128000,15.34148427372223
129000,19.341484333326875
130000,19.341484333326875
131000,19.341484333326875
132000,19.341484333326875
133000,15.34148427372223
134000,15.34148427372223
135000,11.341484214117585
136000,11.341484214117585
137000,7.3414841545129415
138000,7.3414841545129415
139000,7.3414841545129415
140000,15.34148427372223
141000,15.34148427372223
142000,15.34148427372223
143000,15.34148427372223
144000,7.3414841545129415
145000,3.3414840949082967
146000,0
147000,0
148000,7.3414841545129415
149000,11.341484214117585
150000,11.341484214117585
151000,11.341484214117585
152000,11.341484214117585
153000,7.3414841545129415
154000,7.3414841545129415
155000,7.3414841545129415
156000,7.3414841545129415
157000,11.341484214117585
158000,11.341484214117585
159000,3.3414840949082967
160000,0
161000,0
162000,-2.005237892760448
163000,-2.005237892760448
164000,0
165000,0
166000,7.3414841545129415
167000,7.3414841545129415
168000,7.3414841545129415
169000,3.3414840949082967
170000,3.3414840949082967
171000,3.3414840949082967
172000,3.3414840949082967
173000,7.3414841545129415
174000,3.3414840949082967
175000,0
176000,-10.005238011969737
177000,-26.00523825038832
178000,-38.00523842920225
179000,-46.00523854841154
180000,-42.005238488806896
181000,-26.00523825038832
182000,-10.005238011969737
183000,0
184000,0
185000,7.3414841545129415
186000,7.3414841545129415
187000,7.3414841545129415
188000,3.3414840949082967
189000,0
190000,-6.005237952365093
191000,-26.00523825038832
192000,-50.005238608016185
193000,-74.00523896564405
194000,-90.00523920406263
195000,-82.00523908485334
196000,-58.005238727225475
197000,-34.005238369597606
198000,-6.005237952365093
199000,0
200000,7.3414841545129415
201000,11.341484214117585
202000,15.34148427372223
203000,11.341484214117585
204000,3.3414840949082967
205000,0
206000,-22.005238190783672
207000,-62.00523878683012
208000,-106.00523944248121
209000,-154.00524015773695
210000,-182.00524057496946
211000,-182.00524057496946
212000,-158.0052402173416
213000,-114.0052395616905
214000,-66.00523884643476
215000,-30.005238309992965
216000,-6.005237952365093
217000,0
218000,0
219000,0
220000,-10.005238011969737
221000,-34.005238369597606
222000,-82.00523908485334
223000,-142.00523997892302
224000,-198.00524081338804
225000,-230.0052412902252
226000,-242.00524146903913
227000,-250.00524158824845
228000,-238.0052414094345
229000,-202.0052408729927
230000,-146.00524003852766
231000,-86.00523914445799
232000,-42.005238488806896
233000,-14.005238071574382
234000,-2.005237892760448
235000,-6.005237952365093
236000,-26.00523825038832
237000,-62.00523878683012
238000,-110.00523950208586
239000,-158.0052402173416
240000,-194.0052407537834
241000,-202.0052408729927
242000,-190.00524069417875
243000,-182.00524057496946
244000,-178.00524051536482
245000,-186.0052406345741
246000,-194.0052407537834
247000,-198.00524081338804
248000,-194.0052407537834
249000,-186.0052406345741
250000,-182.00524057496946
251000,-186.0052406345741
252000,-182.00524057496946
253000,-166.00524033655088
254000,-138.00523991931837
255000,-102.00523938287657
256000,-70.00523890603941
257000,-46.00523854841154
258000,-30.005238309992965
259000,-30.005238309992965
260000,-34.005238369597606
261000,-46.00523854841154
262000,-66.00523884643476
263000,-82.00523908485334
264000,-98.00523932327192
265000,-110.00523950208586
266000,-110.00523950208586
267000,-98.00523932327192
268000,-78.0052390252487
269000,-46.00523854841154
270000,-6.005237952365093
271000,19.341484333326875
272000,51.34148481016403
273000,75.3414851677919
274000,87.34148534660584
275000,95.34148546581513
276000,99.34148552541977
277000,99.34148552541977
278000,99.34148552541977
279000,95.34148546581513
280000,91.34148540621048
281000,83.34148528700119
282000,79.34148522739655
283000,75.3414851677919
284000,71.34148510818726
285000,67.34148504858261
286000,75.3414851677919
287000,83.34148528700119
288000,91.34148540621048
289000,99.34148552541977
290000,107.34148564462906
291000,111.3414857042337
292000,111.3414857042337
293000,111.3414857042337
294000,111.3414857042337
295000,103.34148558502442
296000,103.34148558502442
297000,99.34148552541977
298000,95.34148546581513
299000,91.34148540621048
300000,87.34148534660584
301000,83.34148528700119
302000,83.34148528700119
303000,83.34148528700119
304000,87.34148534660584
305000,91.34148540621048
306000,91.34148540621048
307000,91.34148540621048
308000,91.34148540621048
309000,91.34148540621048
310000,91.34148540621048
311000,91.34148540621048
312000,91.34148540621048
313000,87.34148534660584
314000,87.34148534660584
315000,83.34148528700119
316000,83.34148528700119
317000,79.34148522739655
318000,79.34148522739655
319000,79.34148522739655
320000,75.3414851677919
321000,67.34148504858261
322000,71.34148510818726
323000,63.34148498897797
324000,63.34148498897797
325000,59.34148492937332
326000,55.34148486976868
327000,51.34148481016403
328000,55.34148486976868
329000,51.34148481016403
330000,55.34148486976868
331000,55.34148486976868
332000,55.34148486976868
333000,55.34148486976868
334000,59.34148492937332
335000,51.34148481016403
336000,47.34148475055939
337000,47.34148475055939
338000,35.341484571745454
339000,27.34148445253616
340000,11.341484214117585
341000,0
342000,0
343000,0
344000,-6.005237952365093
345000,-6.005237952365093
346000,-2.005237892760448
347000,0
348000,0
349000,0
350000,3.3414840949082967
351000,3.3414840949082967
352000,0
353000,0
354000,0
355000,-14.005238071574382
356000,-38.00523842920225
357000,-70.00523890603941
358000,-98.00523932327192
